Sr.no,Page No,Rank,product name,product brand,product colour,Product_id,product url,model,type,category,listing type,product price,currency code,product release date,lowest ask,last highest bid time,last lowest ask time,last sale,last sale date,this sale,change value,change percentage,voltality,premium price,product sold,product avg price,product last90 avr price,product desp,product img url,crawled date
1,1,1,Nike Dunk Low Retro White Black Panda (2021),Nike,White Black Panda (2021),5e6a1e57-1c7d-435a-82bd-5666a13560fe,https://stockx.com/nike-dunk-low-retro-white-black-2021,Nike Dunk Low Retro,New,sneakers,STANDARD,110,USD,10-03-2021,111,2023-04-03T06:05:49Z,2023-04-07T10:25:03Z,151,2023-04-07T11:04:02Z,1858,16,0.115016,0.051501,0.368,235602,187,157,"From the school-spirited College Colors Program to the vibrant Nike CO.JP collection, Nike Dunks have seen many colorways since the design’s inception in 1985. But with each new colorway, the Dunk’s classic color-blocking has remained in some capacity. Nike put its timeless color-blocking to work with the Nike Dunk Low Retro White Black.
<br>
<br>
The upper Nike Dunk Low Retro White Black is constructed of white leather with black leather overlays and Swooshes. Classic Nike branding is featured on the nylon tongue, nodding to traditional Dunk design elements. A white midsole and black outsole complete the design.
<br>
<br>
The Nike Dunk Low Retro White Black released in January of 2021 and retailed for $100.
<br>
<br>
To shop all Nike Dunks, <a href=""https://stockx.com/nike/dunk"">click here.</a>
",https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-2021-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1633027409,07-04-2023 16:39
2,1,2,Nike Dunk Low Retro White Black Panda (2021) (Women's),Nike,White Black Panda (2021) (Women's),e175c189-cf87-4007-bc94-e5b919c4c75c,https://stockx.com/nike-dunk-low-white-black-2021-w,Nike Dunk Low Retro,New,sneakers,STANDARD,100,USD,10-03-2021,107,2023-04-07T03:18:21Z,2023-04-07T06:32:53Z,146,2023-04-07T11:06:53Z,1061,2,0.010019,0.043383,0.452,113539,175,152,"The Nike Dunk Low White Black 2021 women’s sneaker features a white and black leather upper with perforations on the toe box.  The base of the upper starts with white leather, and black leather wraps around it in an even pattern. A black Nike Swoosh logo adorns either side of the upper and wraps around the ankle to complete the design. 
<br>
<br>
The Nike Dunk Low White Black 2021 women’s sneaker released in March of 2021 and retailed for $100.
<br>
<br>
To shop all Nike Dunks, <a href=""https://stockx.com/nike/dunk"">click here.</a> 
",https://images.stockx.com/images/Nike-Dunk-Low-White-Black-2021-W-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1611766850,07-04-2023 16:39
3,1,3,Nike Dunk Low LX Pink Foam (Women's),Nike,Pink Foam (Women's),ed94d6f4-98e1-48be-ab3f-4b0fc4c97d38,https://stockx.com/nike-dunk-low-lx-pink-foam-w,Nike Dunk Low LX,New,sneakers,STANDARD,120,USD,06-04-2023,131,2023-04-07T00:31:37Z,2023-04-07T03:28:16Z,165,2023-04-07T10:39:00Z,1021,5,0.03125,0.075378,0.375,2237,147,148,,https://images.stockx.com/images/Nike-Dunk-Low-LX-Pink-Foam-W-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1675950788,07-04-2023 16:39
4,1,4,Nike Dunk Low Retro White Black Panda (2021) (GS),Nike,White Black Panda (2021) (GS),59f9f4de-a8b8-46fc-841f-42961d3567e7,https://stockx.com/nike-dunk-low-retro-white-black-gs,Nike Dunk Low Retro,New,sneakers,STANDARD,85,USD,10-03-2021,97,2023-04-07T00:41:46Z,2023-04-07T09:30:40Z,128,2023-04-07T11:09:33Z,917,12,0.103448,0.092384,0.506,89306,158,136,"The Nike Dunk Low Retro White Black (GS) silhouette comes in a stark black and white colorway and is made from premium leather materials throughout. Additionally, white Nike lettering complements the rear ankle support of the silhouette while the Nike Air text along with the customary company Swoosh logo adorns the tongue. In keeping with the color scheme, a white midsole resting atop a black outsole rounds out the look of this Dunk Low Retro shoe. 
<br>
<br>
The Nike Dunk Low Retro White Black (GS) released in March of 2021 and retailed for $85.",https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-GS-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1613360456,07-04-2023 16:39
5,1,5,Jordan 11 Retro Low Cement Grey,Jordan,Cement Grey,bd59345a-c594-49ca-b1ab-5cedf0c2ac06,https://stockx.com/air-jordan-11-retro-low-cement-grey,Jordan 11 Retro Low,New,sneakers,STANDARD,190,USD,01-04-2023,170,2023-04-05T13:46:15Z,2023-04-07T05:30:37Z,196,2023-04-07T11:04:55Z,922,-18,-0.084112,0.060492,0.032,3720,207,208,"Jordan Brand is including the iconic Air Jordan 11 silhouette in their Spring/Summer 2023 campaign, with the release of the Jordan 11 Retro Low Cement Grey. 
<br>
<br>
The Jordan 11 Retro Low Cement Grey draws inspiration from the Air Jordan 11 Retro Cool Grey and the Air Jordan 3 Retro White Cement. Jordan Brand used a white mesh upper with a grey patent leather mudguard. The limited edition sneakers are laced with white rope laces and sit on top of icy blue outsoles. 
<br>
<br>
The Air Jordan 11 Retro Low Cement Grey released April 1, 2023, with a retail price of $190. ",https://images.stockx.com/images/Air-Jordan-11-Retro-Low-Cement-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1680538433,07-04-2023 16:39
6,1,6,Jordan 4 Retro SB Pine Green,Jordan,Pine Green,ea540dc0-f05c-48e0-b703-363009124853,https://stockx.com/air-jordan-4-retro-sb-pine-green,Jordan 4 Retro SB,New,sneakers,STANDARD,225,USD,21-03-2023,286,2023-04-07T08:45:45Z,2023-04-06T13:03:54Z,360,2023-04-07T11:08:47Z,767,17,0.049563,0.120634,0.6,10164,378,378,"Nike SB’s collaboration with Jordan helps create the ultimate sneaker for the skatepark to the basketball court, with the release of the Jordan 4 Retro SB Pine Green. 
<br>
<br>
The Jordan 4 Retro SB Pine Green used a white leather upper with a Neutral Grey suede mudguard. The limited edition sneakers sit on top of a white and Pine Green midsole which is highlighted by a red air unit. Nike used a gum outsole to help with increased grip while skateboarding. 
<br>
<br>
The Air Jordan 4 Retro SB Pine Green released March 20, 2023, with a retail price of $225.",https://images.stockx.com/images/Air-Jordan-4-Retro-SB-Pine-Green-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1678346835,07-04-2023 16:39
7,1,7,Nike Dunk Low Grey Fog,Nike,Grey Fog,25dec062-a8f3-4e76-bfc0-776fc74729f7,https://stockx.com/nike-dunk-low-grey-fog,Nike Dunk Low,New,sneakers,STANDARD,100,USD,21-09-2021,122,2023-04-05T13:34:13Z,2023-04-07T09:21:23Z,183,2023-04-07T11:04:15Z,773,4,0.018293,0.079798,0.823,28489,205,178,"The Nike Dunk Low Grey Fog features a white leather upper with Grey Fog leather overlays and Swooshes. From there, a matching woven tongue label, heel tab, and sole completes the design.
<br>
<br>
The Nike Dunk Low Grey Fog released in September of 2021 and retailed for $100.",https://images.stockx.com/images/Nike-Dunk-Low-Grey-Fog-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1632232056,07-04-2023 16:39
8,1,8,Nike Air Force 1 Low '07 White,Nike,White,b80ff5b5-98ab-40ff-a58c-83f6962fe8aa,https://stockx.com/nike-air-force-1-low-white-07,Nike Air Force 1 Low '07,New,sneakers,STANDARD,110,USD,24-11-2007,85,2023-04-04T19:55:50Z,2023-04-01T08:19:31Z,128,2023-04-07T11:06:11Z,681,4,0.026316,0.103121,0.161,110056,112,104,"The Nike Air Force 1 Low White ‘07 features an all-white leather upper with a perforated toe box and Swoosh overlays. A Nike heel embroidery and white sole completes the design.
<br>
<br>
The Nike Air Force 1 Low White ‘07 originally released in 2007, but since it is an essential colorway to the brand, it consistently restocks.
<br>
<br>
To shop all Nike Air Force 1 shoes, <a href=""https://stockx.com/nike/air-force/1"">click here.</a> ",https://images.stockx.com/images/Nike-Air-Force-1-Low-White-07_V2-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1631122839,07-04-2023 16:39
9,1,9,Nike Dunk Low SE Sand Drift (Women's),Nike,Sand Drift (Women's),fb74466c-a49a-47de-9f49-0cd8813a6d2a,https://stockx.com/nike-dunk-low-se-sand-drift-w,Nike Dunk Low SE,New,sneakers,STANDARD,120,USD,04-03-2023,113,2023-04-07T02:22:53Z,2023-04-07T05:28:15Z,224,2023-04-07T10:56:51Z,654,-36,-0.139497,0.17899,0.864,5979,156,156,,https://images.stockx.com/images/Nike-Dunk-Low-SE-Sand-Drift-W-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1678485168,07-04-2023 16:39
10,1,10,Jordan 3 Retro White Cement Reimagined,Jordan,White Cement Reimagined,726706b0-cde9-4df3-aa5c-81b120c79560,https://stockx.com/air-jordan-3-retro-white-cement-reimagined,Jordan 3 Retro,New,sneakers,STANDARD,210,USD,11-03-2023,177,2023-04-07T10:24:02Z,2023-04-06T14:02:48Z,302,2023-04-07T10:49:36Z,568,32,0.115208,0.056094,0.434,20344,292,292,"Jordan is traveling back in time to 1988 for the next part of their Reimagined series, with the release of the Air Jordan 3 Retro White Cement Reimagined. 
<br>
<br>
Jordan used the same design and specs as the original 1988 Jordan 3 silhouette to help craft the second model of the Reimagined series. The Air Jordan 3 Retro White Cement is constructed with a white leather upper, and off-white colored midsoles and heel tabs, helping to give the sneaker a vintage design.  
<br>
<br>
The Air Jordan 3 Retro White Cement Reimagined released March 11, 2023, with a retail price of $210.",https://images.stockx.com/images/Air-Jordan-3-Retro-White-Cement-Reimagined-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1678266994,07-04-2023 16:39
